image,tile_x,tile_y,hue,saturation,value
1.jpg,0,0,43,215,156
1.jpg,1,0,105,254,184
1.jpg,2,0,46,165,62
1.jpg,3,0,42,155,59
1.jpg,4,0,45,163,60
1.jpg,0,1,44,212,156
1.jpg,1,1,46,165,58
1.jpg,2,1,43,171,59
1.jpg,3,1,36,167,64
1.jpg,4,1,42,216,151
1.jpg,0,2,41,209,154
1.jpg,1,2,23,127,114
1.jpg,2,2,29,96,141
1.jpg,3,2,43,178,58
1.jpg,4,2,40,224,147
1.jpg,0,3,43,224,151
1.jpg,1,3,23,132,116
1.jpg,2,3,105,251,180
1.jpg,3,3,37,216,141
1.jpg,4,3,39,230,141
1.jpg,0,4,48,98,63
1.jpg,1,4,105,224,152
1.jpg,2,4,106,227,143
1.jpg,3,4,39,213,133
1.jpg,4,4,26,246,198
10.jpg,0,0,26,245,156
10.jpg,1,0,24,102,33
10.jpg,2,0,24,111,32
10.jpg,3,0,24,106,34
10.jpg,4,0,20,222,122
10.jpg,0,1,107,253,154
10.jpg,1,1,36,185,47
10.jpg,2,1,24,148,86
10.jpg,3,1,24,134,100
10.jpg,4,1,20,216,125
10.jpg,0,2,107,253,151
10.jpg,1,2,106,255,158
10.jpg,2,2,22,66,113
10.jpg,3,2,23,150,89
10.jpg,4,2,26,254,178
10.jpg,0,3,106,255,165
10.jpg,1,3,106,252,150
10.jpg,2,3,45,200,49
10.jpg,3,3,26,241,182
10.jpg,4,3,26,248,181
10.jpg,0,4,105,254,169
10.jpg,1,4,106,252,156
10.jpg,2,4,45,189,51
10.jpg,3,4,39,144,56
10.jpg,4,4,46,163,51
11.jpg,0,0,46,166,51
11.jpg,1,0,36,155,51
11.jpg,2,0,48,165,43
11.jpg,3,0,43,154,41
11.jpg,4,0,49,148,37
11.jpg,0,1,106,246,123
11.jpg,1,1,26,248,181
11.jpg,2,1,26,248,170
11.jpg,3,1,44,152,43
11.jpg,4,1,49,132,38
11.jpg,0,2,105,244,128
11.jpg,1,2,26,243,181
11.jpg,2,2,26,252,179
11.jpg,3,2,38,166,46
11.jpg,4,2,33,66,97
11.jpg,0,3,106,249,123
11.jpg,1,3,39,231,111
11.jpg,2,3,42,228,131
11.jpg,3,3,36,161,46
11.jpg,4,3,48,157,40
11.jpg,0,4,21,199,146
11.jpg,1,4,21,197,145
11.jpg,2,4,41,233,127
11.jpg,3,4,43,177,42
11.jpg,4,4,42,166,43
12.jpg,0,0,26,245,193
12.jpg,1,0,26,246,191
12.jpg,2,0,45,225,150
12.jpg,3,0,43,222,154
12.jpg,4,0,21,200,147
12.jpg,0,1,45,137,59
12.jpg,1,1,105,245,142
12.jpg,2,1,105,253,169
12.jpg,3,1,105,254,173
12.jpg,4,1,20,209,143
12.jpg,0,2,43,217,155
12.jpg,1,2,42,237,147
12.jpg,2,2,38,225,135
12.jpg,3,2,45,186,57
12.jpg,4,2,105,254,169
12.jpg,0,3,43,219,155
12.jpg,1,3,23,151,107
12.jpg,2,3,44,206,144
12.jpg,3,3,26,236,188
12.jpg,4,3,106,255,168
12.jpg,0,4,22,151,116
12.jpg,1,4,26,102,123
12.jpg,2,4,34,59,123
12.jpg,3,4,26,241,187
12.jpg,4,4,105,245,134
13.jpg,0,0,21,167,157
13.jpg,1,0,25,75,42
13.jpg,2,0,27,244,190
13.jpg,3,0,26,239,184
13.jpg,4,0,42,222,147
13.jpg,0,1,26,247,190
13.jpg,1,1,40,228,136
13.jpg,2,1,106,252,157
13.jpg,3,1,26,242,186
13.jpg,4,1,36,180,61
13.jpg,0,2,21,168,156
13.jpg,1,2,42,210,152
13.jpg,2,2,38,220,139
13.jpg,3,2,27,248,192
13.jpg,4,2,26,244,191
13.jpg,0,3,27,237,190
13.jpg,1,3,24,124,112
13.jpg,2,3,27,242,191
13.jpg,3,3,26,244,190
13.jpg,4,3,29,128,62
13.jpg,0,4,24,106,115
13.jpg,1,4,24,86,129
13.jpg,2,4,26,230,185
13.jpg,3,4,26,235,192
13.jpg,4,4,105,253,159
14.jpg,0,0,26,245,154
14.jpg,1,0,24,93,32
14.jpg,2,0,24,116,36
14.jpg,3,0,24,106,36
14.jpg,4,0,20,221,121
14.jpg,0,1,107,253,154
14.jpg,1,1,36,176,44
14.jpg,2,1,25,128,76
14.jpg,3,1,24,130,97
14.jpg,4,1,20,215,124
14.jpg,0,2,107,253,152
14.jpg,1,2,107,255,154
14.jpg,2,2,30,105,64
14.jpg,3,2,23,152,81
14.jpg,4,2,26,254,176
14.jpg,0,3,106,255,165
14.jpg,1,3,106,252,149
14.jpg,2,3,45,195,48
14.jpg,3,3,26,241,181
14.jpg,4,3,26,248,180
14.jpg,0,4,106,254,170
14.jpg,1,4,106,252,155
14.jpg,2,4,46,181,49
14.jpg,3,4,40,140,54
14.jpg,4,4,48,150,49
15.jpg,0,0,46,160,48
15.jpg,1,0,37,144,49
15.jpg,2,0,48,153,42
15.jpg,3,0,45,148,41
15.jpg,4,0,50,137,36
15.jpg,0,1,106,247,121
15.jpg,1,1,26,248,179
15.jpg,2,1,26,248,166
15.jpg,3,1,45,154,41
15.jpg,4,1,51,127,38
15.jpg,0,2,105,246,124
15.jpg,1,2,26,244,179
15.jpg,2,2,26,252,176
15.jpg,3,2,38,152,38
15.jpg,4,2,32,84,45
15.jpg,0,3,107,250,123
15.jpg,1,3,40,230,108
15.jpg,2,3,43,229,128
15.jpg,3,3,35,153,44
15.jpg,4,3,49,158,39
15.jpg,0,4,21,199,142
15.jpg,1,4,21,194,142
15.jpg,2,4,41,233,124
15.jpg,3,4,43,163,41
15.jpg,4,4,43,153,42
16.jpg,0,0,26,246,191
16.jpg,1,0,26,247,189
16.jpg,2,0,45,226,148
16.jpg,3,0,43,223,151
16.jpg,4,0,21,200,144
16.jpg,0,1,46,137,56
16.jpg,1,1,105,246,139
16.jpg,2,1,105,253,167
16.jpg,3,1,105,254,170
16.jpg,4,1,20,209,140
16.jpg,0,2,44,217,152
16.jpg,1,2,43,238,144
16.jpg,2,2,39,228,132
16.jpg,3,2,46,184,55
16.jpg,4,2,105,254,166
16.jpg,0,3,43,220,152
16.jpg,1,3,23,149,103
16.jpg,2,3,44,204,141
16.jpg,3,3,26,237,185
16.jpg,4,3,106,255,164
16.jpg,0,4,22,151,113
16.jpg,1,4,26,104,115
16.jpg,2,4,30,56,79
16.jpg,3,4,26,244,181
16.jpg,4,4,105,247,130
17.jpg,0,0,22,168,129
17.jpg,1,0,42,220,163
17.jpg,2,0,23,150,124
17.jpg,3,0,27,245,204
17.jpg,4,0,44,177,65
17.jpg,0,1,25,120,137
17.jpg,1,1,43,215,164
17.jpg,2,1,26,70,144
17.jpg,3,1,26,230,205
17.jpg,4,1,45,172,63
17.jpg,0,2,23,151,121
17.jpg,1,2,42,228,158
17.jpg,2,2,32,59,141
17.jpg,3,2,26,238,206
17.jpg,4,2,35,174,74
17.jpg,0,3,23,135,117
17.jpg,1,3,39,209,138
17.jpg,2,3,106,237,157
17.jpg,3,3,104,241,176
17.jpg,4,3,42,189,68
17.jpg,0,4,26,235,200
17.jpg,1,4,38,199,148
17.jpg,2,4,104,242,189
17.jpg,3,4,105,243,192
17.jpg,4,4,104,242,193
